customer_state,customer_city,Unique_Customers,Total_Revenue,AOV,Total_Orders,geolocation_state,geolocation_city,geolocation_lat,geolocation_lng
AC,brasileia,1,139.53,139.53,1,AC,brasileia,-11.01004213,-68.74725383
AC,cruzeiro do sul,3,1127.06,375.69,3,AC,cruzeiro do sul,-7.626290184367815,-72.66882069678161
AC,epitaciolandia,1,139.52,139.52,1,AC,epitaciolandia,-11.011048804000001,-68.71517698
AC,manoel urbano,1,248.71,248.71,1,AC,manoel urbano,-8.838577670428572,-69.26138481142857
AC,porto acre,1,104.35,104.35,1,AC,porto acre,-9.67942736925,-67.61447834500001
AC,rio branco,66,16917.55,241.68,70,AC,rio branco,-9.965817638524193,-67.8266304039113
AC,senador guiomard,2,547.09,273.54,2,AC,senador guiomard,-10.153066207857142,-67.73458259714286
AC,xapuri,2,445.89,222.94,2,AC,xapuri,-10.652037914285714,-68.50273305142858
AL,agua branca,1,132.1,132.1,1,AL,agua branca,-9.262317466285714,-37.93495308142857
AL,anadia,2,462.6,231.3,2,AL,anadia,-9.6840472215,-36.303293455
AL,arapiraca,28,10150.03,350.0,29,AL,arapiraca,-9.750597787663901,-36.65746205365145
AL,atalaia,1,137.65,137.65,1,AL,atalaia,-9.506693572333333,-36.0148813
AL,barra de santo antonio,2,629.12,314.56,2,AL,barra de santo antonio,-9.408943408555555,-35.50984263444444
AL,barra de sao miguel,2,226.64,113.32,2,AL,barra de sao miguel,-9.838045888727272,-35.89588712454545
AL,batalha,3,308.1,102.7,3,AL,batalha,-9.674351094866667,-37.127515261999996
AL,belem,2,656.47,218.82,3,AL,belem,-9.5798745685,-36.47589208
AL,boca da mata,2,298.03,149.01,2,AL,boca da mata,-9.6440928794375,-36.2139879525
AL,cacimbinhas,1,53.3,53.3,1,AL,cacimbinhas,-9.401102199428573,-36.97922775714286
AL,cajueiro,1,138.15,138.15,1,AL,cajueiro,-9.398762700999999,-36.146956945
AL,campo alegre,1,997.96,498.98,2,AL,campo alegre,-9.783852797058824,-36.35108525352941
AL,canapi,1,377.32,377.32,1,AL,canapi,-9.11590653175,-37.606784167499995
AL,coite do noia,1,111.01,111.01,1,AL,coite do noia,-9.6369057262,-36.57964853
AL,colonia leopoldina,2,531.85,265.92,2,AL,colonia leopoldina,-8.91622060425,-35.72673682375
AL,coruripe,3,1359.09,453.03,3,AL,coruripe,-10.125415704186047,-36.17492670953488
