order_purchase_timestamp,Daily_Avg_Delivery,Daily_Avg_Shipping,Daily_Late_Rate
2016-09-04,,,0.0
2016-09-05,,,0.0
2016-09-13,,,0.0
2016-09-15,54.0,1.0,1.0
2016-10-02,,,0.0
2016-10-03,25.88,7.38,0.0
2016-10-04,25.22,5.69,0.03
2016-10-05,19.8,4.8,0.0
2016-10-06,20.49,5.56,0.0
2016-10-07,15.46,4.82,0.0
2016-10-08,13.78,5.24,0.0
2016-10-09,13.86,5.14,0.0
2016-10-10,18.82,6.71,0.0
2016-10-22,,,0.0
2016-12-23,4.0,1.0,0.0
2017-01-05,10.59,4.91,0.0
2017-01-06,6.75,4.0,0.0
2017-01-07,23.5,20.25,0.25
2017-01-08,7.5,4.5,0.0
2017-01-09,23.0,20.8,0.2
2017-01-10,11.83,9.0,0.0
2017-01-11,6.9,5.2,0.0
2017-01-12,23.75,17.58,0.15
2017-01-13,8.9,6.6,0.0
2017-01-14,14.62,10.19,0.06
2017-01-15,12.07,9.64,0.0
2017-01-16,11.44,8.5,0.0
2017-01-17,10.44,7.94,0.0
2017-01-18,12.67,9.63,0.03
2017-01-19,11.9,5.52,0.03
2017-01-20,11.46,7.71,0.0
2017-01-21,12.32,8.09,0.0
2017-01-22,8.67,6.5,0.0
2017-01-23,12.42,10.47,0.05
2017-01-24,11.16,8.13,0.0
2017-01-25,11.51,6.77,0.02
2017-01-26,13.07,9.41,0.05
2017-01-27,12.36,8.34,0.0
2017-01-28,12.25,9.71,0.0
2017-01-29,13.31,11.59,0.06
2017-01-30,10.48,7.98,0.0
2017-01-31,12.98,10.86,0.09
2017-02-01,11.2,7.82,0.01
2017-02-02,12.21,9.69,0.03
2017-02-03,14.41,10.3,0.03
2017-02-04,12.31,7.91,0.03
2017-02-05,10.31,7.22,0.01
2017-02-06,10.31,7.18,0.02
2017-02-07,10.16,8.02,0.01
2017-02-08,11.72,8.17,0.01
2017-02-09,13.16,9.27,0.05
2017-02-10,12.41,7.44,0.03
2017-02-11,13.69,9.13,0.04
2017-02-12,11.69,9.08,0.02
2017-02-13,12.24,8.88,0.01
2017-02-14,12.86,9.85,0.03
2017-02-15,10.41,8.14,0.0
2017-02-16,12.88,9.67,0.02
2017-02-17,15.6,11.87,0.04
2017-02-18,13.23,10.04,0.0
2017-02-19,12.51,9.49,0.0
2017-02-20,14.63,10.27,0.08
2017-02-21,16.92,14.23,0.02
2017-02-22,13.02,10.06,0.03
2017-02-23,13.72,9.89,0.03
2017-02-24,14.12,7.9,0.05
2017-02-25,13.9,8.44,0.0
2017-02-26,13.45,7.69,0.04
2017-02-27,11.88,9.02,0.07
2017-02-28,15.19,12.36,0.07
2017-03-01,10.55,7.96,0.04
2017-03-02,12.02,8.55,0.01
2017-03-03,13.12,8.1,0.04
2017-03-04,11.78,7.52,0.04
2017-03-05,11.63,9.33,0.07
2017-03-06,11.23,8.94,0.04
2017-03-07,12.32,9.77,0.04
2017-03-08,16.19,13.63,0.05
2017-03-09,13.18,10.43,0.04
2017-03-10,11.55,7.61,0.01
2017-03-11,11.59,8.22,0.03
2017-03-12,10.19,7.95,0.0
2017-03-13,13.56,11.28,0.08
2017-03-14,11.52,8.81,0.04
2017-03-15,14.79,12.2,0.04
2017-03-16,14.31,11.15,0.08
2017-03-17,15.53,10.78,0.03
2017-03-18,11.73,8.24,0.03
2017-03-19,10.75,8.29,0.02
2017-03-20,11.41,9.23,0.07
2017-03-21,10.26,7.47,0.02
2017-03-22,11.03,8.32,0.05
2017-03-23,11.63,8.3,0.03
2017-03-24,14.53,10.64,0.05
2017-03-25,12.29,9.06,0.07
2017-03-26,12.52,10.21,0.09
2017-03-27,11.62,9.66,0.04
2017-03-28,10.14,7.51,0.05
2017-03-29,14.01,10.85,0.04
2017-03-30,13.07,8.88,0.03
2017-03-31,15.99,12.42,0.07
2017-04-01,13.17,8.67,0.03
2017-04-02,12.08,7.8,0.02
2017-04-03,12.35,8.97,0.04
2017-04-04,15.7,13.53,0.07
2017-04-05,11.2,8.63,0.07
2017-04-06,13.37,10.72,0.04
2017-04-07,13.67,9.37,0.08
2017-04-08,14.05,9.95,0.07
2017-04-09,13.01,10.5,0.03
2017-04-10,11.62,9.13,0.06
2017-04-11,13.62,10.47,0.06
2017-04-12,14.44,10.46,0.1
2017-04-13,16.52,12.52,0.07
2017-04-14,16.53,12.62,0.02
2017-04-15,14.9,11.49,0.1
2017-04-16,16.57,13.38,0.06
2017-04-17,14.86,12.31,0.08
2017-04-18,16.21,12.97,0.07
2017-04-19,16.43,12.08,0.14
2017-04-20,15.73,10.63,0.09
2017-04-21,15.44,10.86,0.06
2017-04-22,14.02,10.76,0.06
2017-04-23,13.89,11.26,0.05
2017-04-24,14.4,10.93,0.1
2017-04-25,12.48,9.65,0.07
2017-04-26,14.87,11.02,0.06
2017-04-27,13.76,9.72,0.0
2017-04-28,16.87,11.44,0.06
2017-04-29,14.6,9.9,0.03
2017-04-30,16.3,12.35,0.04
2017-05-01,13.38,10.08,0.03
2017-05-02,14.02,10.25,0.04
2017-05-03,15.56,11.49,0.07
2017-05-04,12.84,8.97,0.01
2017-05-05,12.41,7.87,0.02
2017-05-06,11.63,7.83,0.02
2017-05-07,11.09,7.96,0.02
2017-05-08,11.08,8.38,0.03
2017-05-09,11.14,7.75,0.04
2017-05-10,10.03,7.39,0.04
2017-05-11,9.7,6.91,0.06
2017-05-12,11.43,7.73,0.05
2017-05-13,10.37,7.12,0.0
2017-05-14,9.88,7.39,0.04
2017-05-15,9.84,7.44,0.02
2017-05-16,9.16,7.05,0.02
2017-05-17,11.04,8.19,0.03
2017-05-18,10.65,7.42,0.02
2017-05-19,10.14,6.6,0.02
2017-05-20,9.91,6.51,0.01
2017-05-21,9.01,6.54,0.02
2017-05-22,9.08,7.01,0.02
2017-05-23,9.27,7.49,0.04
2017-05-24,10.11,7.96,0.05
2017-05-25,11.33,8.38,0.02
2017-05-26,11.05,7.29,0.02
2017-05-27,10.27,7.51,0.02
2017-05-28,9.31,7.37,0.01
2017-05-29,9.36,7.22,0.02
2017-05-30,10.59,8.44,0.03
2017-05-31,11.45,8.82,0.02
2017-06-01,10.73,7.63,0.02
2017-06-02,11.6,7.36,0.02
2017-06-03,13.76,10.02,0.04
2017-06-04,11.54,8.83,0.02
2017-06-05,10.56,7.92,0.01
2017-06-06,10.75,8.31,0.01
2017-06-07,12.53,9.78,0.05
2017-06-08,12.13,9.21,0.02
2017-06-09,11.47,7.86,0.0
2017-06-10,11.53,7.99,0.0
2017-06-11,12.04,9.32,0.04
2017-06-12,12.8,9.71,0.07
2017-06-13,11.47,8.61,0.02
2017-06-14,12.91,8.45,0.05
2017-06-15,13.58,10.08,0.03
2017-06-16,12.52,8.73,0.04
2017-06-17,11.24,8.0,0.04
2017-06-18,10.38,7.66,0.01
2017-06-19,10.85,8.05,0.04
2017-06-20,9.79,7.4,0.02
2017-06-21,8.97,5.53,0.06
2017-06-22,11.52,8.33,0.06
2017-06-23,11.18,7.47,0.0
2017-06-24,13.03,9.65,0.08
2017-06-25,9.76,7.62,0.01
2017-06-26,11.28,9.0,0.04
2017-06-27,9.83,7.81,0.01
2017-06-28,11.2,8.74,0.03
2017-06-29,10.95,8.49,0.04
2017-06-30,12.66,8.68,0.03
2017-07-01,12.57,9.09,0.01
2017-07-02,10.24,7.99,0.02
2017-07-03,11.05,8.65,0.01
2017-07-04,11.08,8.53,0.05
2017-07-05,11.46,8.35,0.03
2017-07-06,12.02,8.86,0.02
2017-07-07,11.84,7.5,0.0
2017-07-08,11.02,7.47,0.0
2017-07-09,10.84,8.32,0.03
2017-07-10,11.83,9.09,0.06
2017-07-11,10.79,8.04,0.02
2017-07-12,11.59,9.06,0.03
2017-07-13,12.61,9.3,0.04
2017-07-14,12.14,7.98,0.01
2017-07-15,12.25,8.34,0.02
2017-07-16,12.0,9.19,0.05
2017-07-17,10.22,7.73,0.04
2017-07-18,10.97,8.0,0.04
2017-07-19,10.71,7.7,0.02
2017-07-20,11.26,8.02,0.03
2017-07-21,11.55,7.49,0.03
2017-07-22,12.1,7.64,0.02
2017-07-23,9.48,6.53,0.01
2017-07-24,10.65,8.01,0.05
2017-07-25,10.48,7.98,0.03
2017-07-26,10.49,7.62,0.02
2017-07-27,11.6,8.3,0.02
2017-07-28,11.6,7.35,0.02
2017-07-29,11.36,7.54,0.03
2017-07-30,9.11,6.52,0.01
2017-07-31,9.14,6.58,0.03
2017-08-01,10.81,8.15,0.04
2017-08-02,9.33,6.42,0.03
2017-08-03,10.15,6.89,0.02
2017-08-04,12.06,7.76,0.03
2017-08-05,11.9,8.31,0.02
2017-08-06,12.05,9.55,0.04
2017-08-07,10.11,7.41,0.03
2017-08-08,10.42,7.95,0.04
2017-08-09,10.11,7.54,0.01
2017-08-10,11.92,8.53,0.04
2017-08-11,11.1,7.19,0.02
2017-08-12,10.87,7.4,0.03
2017-08-13,9.67,7.01,0.02
2017-08-14,9.31,6.86,0.01
2017-08-15,11.72,8.6,0.03
2017-08-16,10.82,7.98,0.03
2017-08-17,11.61,7.55,0.04
2017-08-18,10.93,6.92,0.03
2017-08-19,10.86,7.38,0.02
2017-08-20,9.58,6.79,0.01
2017-08-21,9.72,6.97,0.03
2017-08-22,10.1,6.82,0.02
2017-08-23,10.28,7.17,0.03
2017-08-24,11.3,7.66,0.02
2017-08-25,12.97,8.84,0.06
2017-08-26,10.39,7.17,0.01
2017-08-27,9.65,7.26,0.02
2017-08-28,9.43,7.24,0.03
2017-08-29,11.25,7.97,0.05
2017-08-30,10.69,8.03,0.02
2017-08-31,10.76,7.36,0.05
2017-09-01,12.31,8.31,0.04
2017-09-02,10.96,6.93,0.01
2017-09-03,9.95,7.06,0.01
2017-09-04,11.73,8.4,0.04
2017-09-05,10.96,7.25,0.01
2017-09-06,13.22,8.48,0.06
2017-09-07,11.2,7.54,0.03
2017-09-08,12.23,7.81,0.04
2017-09-09,10.8,7.21,0.03
2017-09-10,10.25,7.31,0.07
2017-09-11,9.55,7.07,0.03
2017-09-12,11.88,9.3,0.08
2017-09-13,11.58,8.8,0.07
2017-09-14,11.72,8.64,0.07
2017-09-15,12.23,8.19,0.05
2017-09-16,12.44,8.36,0.08
2017-09-17,11.84,9.23,0.06
2017-09-18,11.11,8.78,0.1
2017-09-19,11.46,8.99,0.06
2017-09-20,10.97,8.11,0.04
2017-09-21,12.28,9.15,0.02
2017-09-22,11.38,7.25,0.01
2017-09-23,11.85,7.75,0.0
2017-09-24,11.13,8.39,0.02
2017-09-25,10.53,7.92,0.01
2017-09-26,10.9,8.32,0.04
2017-09-27,11.29,8.47,0.02
2017-09-28,11.05,7.81,0.02
2017-09-29,12.4,8.39,0.04
2017-09-30,11.14,7.54,0.0
2017-10-01,11.56,8.8,0.02
2017-10-02,10.56,7.96,0.01
2017-10-03,10.91,8.08,0.03
2017-10-04,11.67,8.87,0.01
2017-10-05,12.34,8.86,0.04
2017-10-06,14.05,8.41,0.05
2017-10-07,13.35,8.42,0.06
2017-10-08,10.41,7.63,0.0
2017-10-09,11.89,8.49,0.05
2017-10-10,11.89,7.68,0.06
2017-10-11,11.19,6.86,0.04
2017-10-12,12.43,8.29,0.03
2017-10-13,12.73,8.53,0.05
2017-10-14,10.89,7.35,0.03
2017-10-15,9.88,7.04,0.03
2017-10-16,11.09,7.95,0.05
2017-10-17,11.61,8.25,0.07
2017-10-18,10.56,7.66,0.03
2017-10-19,11.33,7.7,0.03
2017-10-20,11.75,8.07,0.03
2017-10-21,10.66,7.12,0.03
2017-10-22,10.82,7.78,0.05
2017-10-23,10.57,7.78,0.02
2017-10-24,10.45,7.48,0.05
2017-10-25,11.49,8.33,0.03
2017-10-26,11.03,7.9,0.06
2017-10-27,12.62,7.73,0.05
2017-10-28,12.4,7.89,0.02
2017-10-29,10.47,7.7,0.04
2017-10-30,10.82,7.62,0.09
2017-10-31,11.58,7.84,0.05
2017-11-01,12.5,8.16,0.04
2017-11-02,12.38,8.23,0.03
2017-11-03,12.27,7.89,0.02
2017-11-04,11.83,7.78,0.04
2017-11-05,11.04,8.34,0.02
2017-11-06,13.06,9.9,0.06
2017-11-07,11.12,8.4,0.05
2017-11-08,11.66,8.51,0.05
2017-11-09,11.72,8.01,0.04
2017-11-10,13.34,8.2,0.05
2017-11-11,13.92,8.72,0.04
2017-11-12,12.49,8.84,0.04
2017-11-13,12.98,8.92,0.07
2017-11-14,15.2,9.62,0.1
2017-11-15,12.51,9.13,0.05
2017-11-16,13.21,9.31,0.08
2017-11-17,13.13,8.71,0.07
2017-11-18,14.08,9.77,0.1
2017-11-19,11.62,8.15,0.1
2017-11-20,13.11,9.96,0.13
2017-11-21,13.42,10.69,0.18
2017-11-22,13.92,11.1,0.14
2017-11-23,15.65,12.06,0.13
2017-11-24,16.72,11.58,0.17
2017-11-25,18.96,13.62,0.2
2017-11-26,16.08,12.43,0.17
2017-11-27,15.97,12.16,0.18
2017-11-28,15.06,11.26,0.17
2017-11-29,17.41,13.42,0.18
2017-11-30,15.52,11.25,0.1
2017-12-01,16.1,11.41,0.11
2017-12-02,16.24,12.1,0.12
