purchase_day_of_week,purchase_hour_of_day,Avg_Delivery_Time,Avg_Shipping_Time,Late_Rate,Order_Count
Friday,0,12.58,8.75,0.06,426
Friday,1,12.91,9.43,0.06,216
Friday,2,12.56,8.82,0.01,72
Friday,3,11.67,8.22,0.04,49
Friday,4,13.33,8.36,0.1,40
Friday,5,12.69,8.66,0.06,36
Friday,6,11.01,7.82,0.04,97
Friday,7,11.24,7.91,0.04,206
Friday,8,12.79,9.15,0.06,493
Friday,9,12.76,9.08,0.06,768
Friday,10,12.61,8.55,0.06,956
Friday,11,12.68,8.71,0.07,990
Friday,12,13.47,9.12,0.08,854
Friday,13,13.3,9.1,0.07,1002
Friday,14,13.28,8.89,0.07,961
Friday,15,12.81,8.45,0.06,979
Friday,16,13.32,8.89,0.06,974
Friday,17,13.64,8.95,0.06,817
Friday,18,13.23,8.7,0.07,723
Friday,19,13.67,9.07,0.09,784
Friday,20,13.16,8.92,0.08,738
Friday,21,13.55,9.28,0.07,726
Friday,22,13.8,9.54,0.08,702
Friday,23,13.24,8.94,0.06,512
Monday,0,11.88,9.08,0.07,328
Monday,1,10.55,7.94,0.05,134
Monday,2,11.57,8.9,0.08,66
Monday,3,12.32,9.88,0.08,36
Monday,4,11.24,7.57,0.05,21
Monday,5,8.27,5.95,0.05,22
Monday,6,13.61,11.61,0.1,69
Monday,7,11.75,9.13,0.08,160
Monday,8,11.13,8.63,0.05,479
Monday,9,11.72,9.03,0.08,783
Monday,10,11.33,8.62,0.07,1035
Monday,11,11.18,8.27,0.07,1078
Monday,12,11.27,8.56,0.08,971
Monday,13,11.7,8.91,0.06,1027
Monday,14,11.76,8.86,0.08,1096
Monday,15,12.39,9.27,0.08,1079
Monday,16,11.64,8.83,0.07,1094
Monday,17,11.41,8.56,0.07,992
Monday,18,11.5,9.08,0.07,928
Monday,19,10.91,8.4,0.06,945
Monday,20,12.05,9.67,0.09,1027
Monday,21,11.57,9.06,0.08,1118
Monday,22,11.09,8.5,0.07,991
Monday,23,11.56,9.0,0.08,717
Saturday,0,13.88,9.26,0.09,315
Saturday,1,13.93,9.46,0.09,175
Saturday,2,14.26,9.6,0.1,67
Saturday,3,12.27,7.56,0.05,43
Saturday,4,11.04,7.24,0.0,25
Saturday,5,10.74,6.35,0.0,24
Saturday,6,13.22,8.94,0.06,53
Saturday,7,13.49,9.14,0.07,106
Saturday,8,13.19,8.9,0.05,249
Saturday,9,13.9,9.48,0.05,434
Saturday,10,13.55,9.21,0.06,662
Saturday,11,12.67,8.62,0.06,711
Saturday,12,12.86,8.74,0.06,691
Saturday,13,12.81,8.85,0.06,706
Saturday,14,13.06,9.3,0.06,677
Saturday,15,12.88,9.05,0.06,722
Saturday,16,13.05,9.05,0.06,697
Saturday,17,12.59,8.82,0.07,701
Saturday,18,12.42,8.93,0.06,710
Saturday,19,12.84,8.84,0.06,756
Saturday,20,12.65,9.18,0.07,730
Saturday,21,12.15,8.95,0.06,654
Saturday,22,12.14,8.96,0.06,550
Saturday,23,13.44,10.37,0.09,429
Sunday,0,13.23,9.74,0.08,267
Sunday,1,11.69,8.49,0.08,141
Sunday,2,13.26,10.63,0.12,69
Sunday,3,11.68,8.63,0.07,44
