product_category_name_english,Avg_Review_Score,Review_Count,Avg_Delivery_Time
agro_industry_and_commerce,4.0,212,11.22
air_conditioning,3.97,292,11.74
art,3.94,207,10.78
arts_and_craftmanship,4.12,24,5.29
audio,3.83,361,12.88
auto,4.07,4212,11.71
baby,4.01,3048,11.97
bed_bath_table,3.9,11137,12.3
books_general_interest,4.45,548,11.14
books_imported,4.4,60,7.67
books_technical,4.37,266,10.24
cds_dvds_musicals,4.64,14,10.36
christmas_supplies,4.02,146,14.13
cine_photo,4.21,73,10.06
computers,4.18,200,12.86
computers_accessories,3.93,7848,12.76
consoles_games,4.02,1127,13.12
construction_tools_construction,4.05,926,10.22
construction_tools_lights,4.05,296,9.09
construction_tools_safety,3.84,193,11.4
cool_stuff,4.15,3772,11.87
costruction_tools_garden,4.05,240,11.43
costruction_tools_tools,4.44,99,11.29
diapers_and_hygiene,3.26,39,10.24
drinks,4.05,377,10.03
dvds_blu_ray,4.08,63,12.51
electronics,4.04,2749,12.41
fashio_female_clothing,3.78,50,11.39
fashion_bags_accessories,4.14,2039,10.62
fashion_childrens_clothes,4.5,8,8.14
fashion_male_clothing,3.64,131,12.31
fashion_shoes,4.23,261,14.97
fashion_sport,4.26,31,11.4
fashion_underwear_beach,3.98,130,13.22
fixed_telephony,3.68,262,12.16
flowers,4.42,31,10.42
food,4.22,495,9.11
food_drink,4.32,279,10.42
furniture_bedroom,4.12,110,12.76
furniture_decor,3.9,8331,12.33
furniture_living_room,3.9,502,13.32
furniture_mattress_and_upholstery,3.82,38,13.89
garden_tools,4.04,4329,13.16
health_beauty,4.14,9645,11.48
home_appliances,4.17,806,10.83
home_appliances_2,4.14,238,13.36
home_comfort_2,3.63,27,14.41
home_confort,3.83,435,13.04
home_construction,3.94,600,12.79
housewares,4.06,6943,10.45
industry_commerce_and_business,4.1,265,10.21
kitchen_dining_laundry_garden_furniture,3.96,280,11.49
la_cuisine,4.0,13,6.54
luggage_accessories,4.32,1088,10.18
market_place,4.02,309,11.64
music,4.21,38,11.16
musical_instruments,4.15,675,12.5
office_furniture,3.49,1687,20.38
party_supplies,3.77,43,8.9
perfumery,4.16,3421,11.28
pet_shop,4.19,1939,10.73
security_and_services,2.5,2,15.0
signaling_and_security,4.09,197,9.85
small_appliances,4.15,677,10.31
small_appliances_home_oven_and_coffee,4.3,76,9.4
sports_leisure,4.11,8639,11.67
stationery,4.19,2507,12.27
tablets_printing_image,4.12,81,12.42
telephony,3.95,4517,12.38
toys,4.16,4090,11.16
watches_gifts,4.02,5948,12.14
