seller_id,Year_Month,Monthly_Revenue,Monthly_Orders
0015a82c2db000af6aaaf3ae2ecb0532,2017-09,895.0,1
0015a82c2db000af6aaaf3ae2ecb0532,2017-10,1790.0,2
001cca7ae9ae17fb1caed9dfb1094831,2017-02,1098.9,5
001cca7ae9ae17fb1caed9dfb1094831,2017-03,1676.7,11
001cca7ae9ae17fb1caed9dfb1094831,2017-04,1847.2,14
001cca7ae9ae17fb1caed9dfb1094831,2017-05,2774.99,24
001cca7ae9ae17fb1caed9dfb1094831,2017-06,2302.49,22
001cca7ae9ae17fb1caed9dfb1094831,2017-07,2483.95,21
001cca7ae9ae17fb1caed9dfb1094831,2017-08,1244.0,11
001cca7ae9ae17fb1caed9dfb1094831,2017-09,1714.0,12
001cca7ae9ae17fb1caed9dfb1094831,2017-10,2626.0,22
001cca7ae9ae17fb1caed9dfb1094831,2017-11,2540.0,20
001cca7ae9ae17fb1caed9dfb1094831,2017-12,1330.0,12
001cca7ae9ae17fb1caed9dfb1094831,2018-01,914.0,8
001cca7ae9ae17fb1caed9dfb1094831,2018-02,331.0,3
001cca7ae9ae17fb1caed9dfb1094831,2018-03,1185.9,7
001cca7ae9ae17fb1caed9dfb1094831,2018-04,640.0,5
001cca7ae9ae17fb1caed9dfb1094831,2018-06,241.0,2
001cca7ae9ae17fb1caed9dfb1094831,2018-07,129.9,1
001e6ad469a905060d959994f1b41e4f,2018-08,250.0,1
002100f778ceb8431b7a1020ff7ab48f,2017-09,47.6,3
002100f778ceb8431b7a1020ff7ab48f,2017-10,191.9,9
002100f778ceb8431b7a1020ff7ab48f,2017-11,276.8,11
002100f778ceb8431b7a1020ff7ab48f,2017-12,283.4,16
002100f778ceb8431b7a1020ff7ab48f,2018-01,77.7,3
002100f778ceb8431b7a1020ff7ab48f,2018-02,189.6,4
002100f778ceb8431b7a1020ff7ab48f,2018-03,57.7,3
002100f778ceb8431b7a1020ff7ab48f,2018-04,109.8,2
003554e2dce176b5555353e4f3555ac8,2017-12,120.0,1
004c9cd9d87a3c30c522c48c4fc07416,2017-01,719.94,6
004c9cd9d87a3c30c522c48c4fc07416,2017-02,2043.36,12
004c9cd9d87a3c30c522c48c4fc07416,2017-03,1078.91,6
004c9cd9d87a3c30c522c48c4fc07416,2017-04,1389.92,10
004c9cd9d87a3c30c522c48c4fc07416,2017-05,528.95,5
004c9cd9d87a3c30c522c48c4fc07416,2017-06,1338.9,9
004c9cd9d87a3c30c522c48c4fc07416,2017-07,1263.62,12
004c9cd9d87a3c30c522c48c4fc07416,2017-08,2653.98,21
004c9cd9d87a3c30c522c48c4fc07416,2017-09,1278.22,14
004c9cd9d87a3c30c522c48c4fc07416,2017-10,679.85,6
004c9cd9d87a3c30c522c48c4fc07416,2017-11,2095.4,18
004c9cd9d87a3c30c522c48c4fc07416,2017-12,1374.81,13
004c9cd9d87a3c30c522c48c4fc07416,2018-01,1110.16,8
004c9cd9d87a3c30c522c48c4fc07416,2018-02,395.19,3
004c9cd9d87a3c30c522c48c4fc07416,2018-03,659.66,8
004c9cd9d87a3c30c522c48c4fc07416,2018-04,752.34,5
004c9cd9d87a3c30c522c48c4fc07416,2018-05,349.5,2
00720abe85ba0859807595bbf045a33b,2018-01,156.0,1
00720abe85ba0859807595bbf045a33b,2018-02,78.0,1
00720abe85ba0859807595bbf045a33b,2018-03,54.0,2
00720abe85ba0859807595bbf045a33b,2018-04,151.7,3
00720abe85ba0859807595bbf045a33b,2018-05,269.6,3
00720abe85ba0859807595bbf045a33b,2018-06,88.2,1
00720abe85ba0859807595bbf045a33b,2018-07,78.0,1
