seller_id,Total_Revenue,Avg_Product_Price,Items_Sold,Avg_Freight,Unique_Orders,Avg_Handling_Time,seller_zip_code_prefix,seller_city,seller_state,geolocation_state,geolocation_city,geolocation_lat,geolocation_lng,Revenue_Rank,Orders_Rank,Handling_Rank
0015a82c2db000af6aaaf3ae2ecb0532,2685.0,895.0,3,21.02,3,2.33,9080,santo andre,SP,SP,santo andre,-23.659845551861558,-46.520773012802984,878.0,2061.5,1903.5
001cca7ae9ae17fb1caed9dfb1094831,25080.03,104.94,239,37.05,200,1.68,29156,cariacica,ES,ES,cariacica,-20.33017631385468,-40.38354867470443,101.0,90.5,1492.0
001e6ad469a905060d959994f1b41e4f,250.0,250.0,1,17.94,1,,24754,sao goncalo,RJ,RJ,sao goncalo,-22.8275352136926,-43.028644261328274,2240.0,2809.5,
002100f778ceb8431b7a1020ff7ab48f,1234.5,22.45,55,14.43,51,3.02,14405,franca,SP,SP,franca,-20.53325139381418,-47.398655547982884,1298.0,418.0,2224.0
003554e2dce176b5555353e4f3555ac8,120.0,120.0,1,19.38,1,0.0,74565,goiania,GO,GO,goiania,-16.681784318700302,-49.27788808238278,2611.5,2809.5,154.0
004c9cd9d87a3c30c522c48c4fc07416,19712.71,115.96,170,20.89,158,0.93,14940,ibitinga,SP,SP,ibitinga,-21.7572251051417,-48.82954113574898,129.0,124.5,781.5
00720abe85ba0859807595bbf045a33b,1007.5,38.75,26,12.15,13,1.92,7070,guarulhos,SP,SP,guarulhos,-23.44236464533801,-46.49181952137768,1422.5,1049.0,1608.5
00ab3eff1b5192e5f1a63bcecfee11c8,98.0,98.0,1,12.08,1,3.0,4164,sao paulo,SP,SP,sao paulo,-23.57018619316997,-46.625239579979855,2690.0,2809.5,2176.5
00d8b143d12632bad99c0ad66ad52825,86.0,86.0,1,51.1,1,1.0,30170,belo horizonte,MG,MG,belo horizonte,-19.905131713151892,-43.95950836560953,2748.0,2809.5,899.5
00ee68308b45bc5e2660cd833c3f81cc,20260.0,117.79,172,18.49,135,1.03,3333,sao paulo,SP,SP,sao paulo,-23.57018619316997,-46.625239579979855,127.0,150.0,1002.0
00fc707aaaad2d31347cf883cd2dfe10,12684.9,93.96,135,16.93,103,1.86,87025,maringa,PR,PR,maringa,-23.41674016416622,-51.932920391598294,230.0,207.0,1578.0
010543a62bd80aa422851e79a3bc7540,1416.0,708.0,2,15.98,2,2.5,1212,sao paulo,SP,SP,sao paulo,-23.57018619316997,-46.625239579979855,1204.0,2347.5,1981.5
010da0602d7774602cd1b3f5fb7b709e,849.5,169.9,5,46.05,1,20.0,9710,sao bernardo do campo,SP,SP,sao bernardo do campo,-23.70966833948436,-46.5650931121809,1521.5,2809.5,2947.5
011b0eaba87386a2ae96a7d32bb531d1,99.98,49.99,2,14.59,1,14.0,17580,pompeia,SP,SP,pompeia,-22.10358041952756,-50.17867874740157,2679.0,2809.5,2914.0
01266d4c46afa519678d16a8b683d325,90.25,30.08,3,15.74,3,0.0,80250,curitiba,PR,PR,curitiba,-25.45541884942822,-49.2732583861449,2716.0,2061.5,154.0
013900e863eace745d3ec7614cab5b1a,1619.7,62.3,26,18.06,23,2.58,80740,curitiba,PR,PR,curitiba,-25.45541884942822,-49.2732583861449,1122.0,735.5,2010.5
014c0679dd340a0e338872e7ec85666a,7058.0,470.53,15,41.89,14,4.8,35180,timoteo,MG,MG,timoteo,-19.555472011979433,-42.638611759125965,429.0,1006.5,2568.5
014d9a685fd57276679edd00e07089e5,729.88,60.82,12,12.24,11,1.67,87015,maringa,PR,PR,maringa,-23.41674016416622,-51.932920391598294,1647.0,1166.0,1477.0
0176f73cc1195f367f7b32db1e5b3aa8,4733.1,121.36,39,33.0,38,1.28,14940,ibitinga,SP,SP,ibitinga,-21.7572251051417,-48.82954113574898,592.0,530.0,1191.5
01bcc9d254a0143f0ce9791b960b2a47,1521.21,138.29,11,25.24,11,0.64,76400,uruacu,GO,GO,uruacu,-14.521762863232324,-49.143007266868686,1153.0,1166.0,563.0
01c97ebb5cdac52891c0ed1c37ba0012,577.5,48.12,12,14.88,9,0.33,15804,catanduva,SP,SP,catanduva,-21.136699658483604,-48.971602430259566,1770.0,1313.0,353.5
01cf7e3d21494c41fb86034f2e714fa1,9729.36,145.21,67,29.98,61,2.06,85603,francisco beltrao,PR,PR,francisco beltrao,-26.0707632024937,-53.05204482528968,303.0,363.0,1790.5
01ed254b9ff8407dfb9d99ba1e17d923,1465.99,293.2,5,13.54,5,0.6,8710,mogi das cruzes,SP,SP,mogi das cruzes,-23.53252493504114,-46.19749878240838,1182.0,1723.5,533.0
01fd077212124329bac32490e8ef80d9,1208.0,30.97,39,14.75,31,0.72,14079,ribeirao preto / sao paulo,SP,,,,,1311.5,611.5,629.5
01fdefa7697d26ad920e9e0346d4bd1b,14921.43,113.9,131,21.13,129,0.95,86050,londrina,PR,PR,londrina,-23.311167554729423,-51.163345790636654,176.0,159.5,791.0
