Date,Year,Month,Month_Name,Quarter,Day,Day_of_Week,Day_Name,Week_of_Year,Day_of_Year,Year_Month,Year_Quarter,Is_Weekend
2016-09-04,2016,9,September,3,4,7,Sunday,35,248,2016-09,2016-Q3,1
2016-09-05,2016,9,September,3,5,1,Monday,36,249,2016-09,2016-Q3,0
2016-09-06,2016,9,September,3,6,2,Tuesday,36,250,2016-09,2016-Q3,0
2016-09-07,2016,9,September,3,7,3,Wednesday,36,251,2016-09,2016-Q3,0
2016-09-08,2016,9,September,3,8,4,Thursday,36,252,2016-09,2016-Q3,0
2016-09-09,2016,9,September,3,9,5,Friday,36,253,2016-09,2016-Q3,0
2016-09-10,2016,9,September,3,10,6,Saturday,36,254,2016-09,2016-Q3,1
2016-09-11,2016,9,September,3,11,7,Sunday,36,255,2016-09,2016-Q3,1
2016-09-12,2016,9,September,3,12,1,Monday,37,256,2016-09,2016-Q3,0
2016-09-13,2016,9,September,3,13,2,Tuesday,37,257,2016-09,2016-Q3,0
2016-09-14,2016,9,September,3,14,3,Wednesday,37,258,2016-09,2016-Q3,0
2016-09-15,2016,9,September,3,15,4,Thursday,37,259,2016-09,2016-Q3,0
2016-09-16,2016,9,September,3,16,5,Friday,37,260,2016-09,2016-Q3,0
2016-09-17,2016,9,September,3,17,6,Saturday,37,261,2016-09,2016-Q3,1
2016-09-18,2016,9,September,3,18,7,Sunday,37,262,2016-09,2016-Q3,1
2016-09-19,2016,9,September,3,19,1,Monday,38,263,2016-09,2016-Q3,0
2016-09-20,2016,9,September,3,20,2,Tuesday,38,264,2016-09,2016-Q3,0
2016-09-21,2016,9,September,3,21,3,Wednesday,38,265,2016-09,2016-Q3,0
2016-09-22,2016,9,September,3,22,4,Thursday,38,266,2016-09,2016-Q3,0
2016-09-23,2016,9,September,3,23,5,Friday,38,267,2016-09,2016-Q3,0
2016-09-24,2016,9,September,3,24,6,Saturday,38,268,2016-09,2016-Q3,1
2016-09-25,2016,9,September,3,25,7,Sunday,38,269,2016-09,2016-Q3,1
2016-09-26,2016,9,September,3,26,1,Monday,39,270,2016-09,2016-Q3,0
2016-09-27,2016,9,September,3,27,2,Tuesday,39,271,2016-09,2016-Q3,0
